sensor_id,sensor_name,lat,lon,timestamp,p1,p2
17018,SDS011,55.718,13.234,2018-12-31 12:35:59,27.97,5.2
18110,SDS011,57.49,12.078,2018-12-31 12:36:06,27.52,8.22
17536,SDS011,59.288,17.964,2018-12-31 12:36:20,4.72,1.38
14813,SDS011,57.914,12.06,2018-12-31 12:36:28,27.32,9.08
9411,SDS011,59.266,15.23,2018-12-31 12:36:40,3.84,2.28
15073,SDS011,63.884,20.308,2018-12-31 12:36:48,3.36,0.6
15071,SDS011,56.696,13.002,2018-12-31 12:36:59,2.44,2.24
15837,SDS011,59.846,17.638,2018-12-31 12:37:06,2.89,1.38
14282,SDS011,59.282,18.344,2018-12-31 12:37:13,1.68,0.62
17710,SDS011,57.718,12.134,2018-12-31 12:37:20,8.25,2.12
12393,SDS011,59.344,18.034,2018-12-31 12:37:30,2.96,1.5
17650,SDS011,59.304,18.102,2018-12-31 12:37:41,2.77,1.84
15551,SDS011,57.712,11.996,2018-12-31 12:37:54,20.39,7.12
14809,SDS011,57.566,11.936,2018-12-31 12:38:00,159.24,9.67
12124,SDS011,57.908,16.49,2018-12-31 12:38:35,0.1,0.1
17662,SDS011,56.892,15.09,2018-12-31 12:38:48,2.54,2.38
9436,SDS011,59.334,18.034,2018-12-31 12:38:57,2.32,1.84
12679,SDS011,59.384,17.874,2018-12-31 12:39:07,0.4,0.4
13423,SDS011,57.758,14.922,2018-12-31 12:39:15,7.1,5.02
14292,SDS011,59.42,17.842,2018-12-31 12:39:28,1.9,1.18
12687,SDS011,59.388,17.798,2018-12-31 12:39:34,2.35,1.1
11769,SDS011,59.238,18.226,2018-12-31 12:39:43,6.14,2.93
18834,SDS011,59.262,18.036,2018-12-31 12:39:48,1.85,1.15
12381,SDS011,63.392,13.1,2018-12-31 12:40:00,0.36,0.29
17712,SDS011,64.6,21.088,2018-12-31 12:40:09,7.48,2.95
15551,SDS011,57.712,11.996,2018-12-31 12:40:22,22.4,7.28
10803,SDS011,57.69,11.954,2018-12-31 12:40:27,39.97,6.39
11002,SDS011,55.796,13.09,2018-12-31 12:40:33,2.45,1.5
7597,SDS011,59.32,18.064,2018-12-31 12:40:39,2.49,1.4
13762,SDS011,60.45,23.238,2018-12-31 12:40:46,6.54,4.84
14811,SDS011,57.706,11.9,2018-12-31 12:40:53,105.13,12.55
16815,SDS011,59.462,18.04,2018-12-31 12:41:10,5.8,3.67
11404,SDS011,58.396,15.566,2018-12-31 12:41:37,1.27,1.0
11376,SDS011,59.124,15.126,2018-12-31 12:41:45,4.43,2.37
15071,SDS011,56.696,13.002,2018-12-31 12:41:57,2.74,2.2
9368,SDS011,59.37,17.834,2018-12-31 12:42:06,2.42,0.82
18056,SDS011,57.494,12.166,2018-12-31 12:42:13,71.24,8.9
16149,SDS011,55.606,13.024,2018-12-31 12:42:17,10.28,3.42
13012,SDS011,57.662,12.006,2018-12-31 12:42:30,5.05,2.6
13425,SDS011,57.918,12.53,2018-12-31 12:42:42,4.62,2.84
17038,SDS011,55.75,13.202,2018-12-31 12:42:50,17.22,5.66
10803,SDS011,57.69,11.954,2018-12-31 12:42:57,32.74,6.05
13421,SDS011,55.904,13.396,2018-12-31 12:43:01,34.95,17.77
11004,SDS011,59.622,16.556,2018-12-31 12:43:08,9.14,4.25
9797,SDS011,57.492,12.652,2018-12-31 12:43:16,11.35,6.66
7277,SDS011,59.266,15.23,2018-12-31 12:43:25,4.84,2.57
10281,SDS011,59.472,18.048,2018-12-31 12:43:33,4.22,2.34
12391,SDS011,59.86,17.64,2018-12-31 12:43:47,1.15,1.05
16723,SDS011,57.736,11.894,2018-12-31 12:43:55,440.55,22.84
16815,SDS011,59.462,18.04,2018-12-31 12:44:35,4.8,4.2
14296,SDS011,59.338,18.062,2018-12-31 12:44:43,4.08,1.96
11663,SDS011,59.38,18.04,2018-12-31 12:44:51,2.52,0.9
8683,SDS011,59.744,18.206,2018-12-31 12:45:03,3.49,3.25
14837,SDS011,59.296,18.106,2018-12-31 12:45:14,2.28,1.15
17532,SDS011,59.32,13.484,2018-12-31 12:45:22,28.52,7.28
14803,SDS011,57.676,11.994,2018-12-31 12:45:28,71.1,9.93
14799,SDS011,57.75,11.97,2018-12-31 12:45:32,266.05,15.98
17235,SDS011,59.272,17.78,2018-12-31 12:45:41,3.23,1.28
14811,SDS011,57.706,11.9,2018-12-31 12:45:48,52.48,8.91
10723,SDS011,59.298,18.052,2018-12-31 12:45:57,4.44,1.9
12137,SDS011,59.334,18.032,2018-12-31 12:46:11,3.28,1.96
12389,SDS011,59.924,10.744,2018-12-31 12:46:20,1.56,1.4
14835,SDS011,56.098,12.65,2018-12-31 12:46:31,25.72,6.97
11376,SDS011,59.124,15.126,2018-12-31 12:46:42,3.26,1.85
13018,SDS011,57.652,11.918,2018-12-31 12:46:52,335.91,16.2
11232,SDS011,55.596,13.022,2018-12-31 12:46:58,10.15,5.12
17650,SDS011,59.304,18.102,2018-12-31 12:47:37,2.4,1.72
11384,SDS011,56.748,13.882,2018-12-31 12:47:46,6.77,3.96
15561,SDS011,59.214,16.222,2018-12-31 12:47:54,2.0,1.58
14799,SDS011,57.75,11.97,2018-12-31 12:48:00,261.86,15.84
12129,SDS011,59.34,18.04,2018-12-31 12:48:09,4.23,3.75
14811,SDS011,57.706,11.9,2018-12-31 12:48:15,41.56,8.12
14276,SDS011,57.346,12.15,2018-12-31 12:48:25,445.13,52.36
18826,SDS011,63.404,13.016,2018-12-31 12:48:32,0.62,0.25
14813,SDS011,57.914,12.06,2018-12-31 12:48:46,33.73,9.43
10926,SDS011,59.472,18.304,2018-12-31 12:48:59,1.46,1.35
18836,SDS011,63.404,13.03,2018-12-31 12:49:06,0.46,0.4
11767,SDS011,57.652,12.514,2018-12-31 12:49:17,3.44,2.2
14292,SDS011,59.42,17.842,2018-12-31 12:49:26,4.73,1.2
